Date,Close,High,Low,Open,Volume,n-transactions,MKTCP,HRATE,DIFF,AVBLS
3/1/2017,1222.5,1222.5,1179.689941,1180.040039,229056992,315883,19898087659,3155225.442,4.41E+11,0.979145951
3/2/2017,1251.01001,1262.130005,1215.619995,1224.680054,368275008,329428,20508763335,3440072.183,4.41E+11,0.955612331
3/3/2017,1274.98999,1280.310059,1250.709961,1250.709961,315739008,337310,20890752811,3458650.323,4.46E+11,0.985290046
3/4/2017,1255.150024,1279.400024,1230.51001,1277.430054,183270000,268875,20515484348,3069265.85,4.61E+11,0.986085269
3/5/2017,1267.119995,1267.290039,1238.060059,1254.290039,134127000,280739,20621209257,3367030.447,4.61E+11,0.983301313
3/6/2017,1272.829956,1276,1264.599976,1267.469971,153656992,287731,20707990380,3252505.602,4.61E+11,0.965532563
3/7/2017,1223.540039,1275.550049,1204.800049,1273.209961,291256000,327902,20046119625,3504460.261,4.61E+11,0.974861771
3/8/2017,1150,1232.160034,1148.079956,1223.22998,332603008,297108,18928046456,3252505.602,4.61E+11,0.979427085
3/9/2017,1188.48999,1197.459961,1141.22998,1150.349976,212283008,303632,19314832213,3389935.416,4.61E+11,0.991798216
3/10/2017,1116.719971,1270.469971,1077.25,1189.359985,563795968,308482,17733596764,3573175.168,4.61E+11,0.991821346
3/11/2017,1175.829956,1193.829956,1116.319946,1116.319946,283320000,280681,19028079154,3412840.385,4.61E+11,0.997576389
3/12/2017,1221.380005,1226.97998,1175.359985,1176.619995,227176000,221110,19853444813,3550270.199,4.61E+11,0.960146465
3/13/2017,1231.920044,1237.369995,1217.030029,1221.780029,380276992,273079,20016183000,3321220.509,4.61E+11,0.98287231
3/14/2017,1240,1244.810059,1220.719971,1232.160034,245306000,310395,20333326767,3573175.168,4.61E+11,0.962449359
3/15/2017,1249.609985,1251.609985,1239.75,1240.160034,297804992,292434,20421359320,3252505.602,4.61E+11,0.98398357
3/16/2017,1187.810059,1257.97998,1152.439941,1251.329956,638568000,327034,19100245120,3504460.261,4.61E+11,0.988260131
3/17/2017,1100.22998,1180.160034,1099.569946,1180.160034,706598976,292196,18630436725,3641704.837,4.70E+11,0.995548701
3/18/2017,973.817993,1114.069946,957.655029,1099.689941,621302016,263530,15295539370,3712647.139,4.76E+11,0.942046318
3/19/2017,1036.73999,1069.910034,976.72998,976.72998,406648000,271239,16629604629,3925474.045,4.76E+11,0.889713331
3/20/2017,1054.22998,1063.030029,1036.680054,1037.23999,286529984,277033,16942394496,3216051.025,4.76E+11,0.977387353
3/21/2017,1120.540039,1122.430054,1055.359985,1055.359985,337391008,288055,18168435469,3357935.629,4.76E+11,0.982003845
3/22/2017,1049.140015,1120.650024,1014.210022,1120.650024,380840992,320713,16558917210,3807236.875,4.76E+11,0.982302839
3/23/2017,1038.589966,1058.01001,1028.930054,1050.050049,248540000,287871,16915387246,3499820.233,4.76E+11,0.965088912
3/24/2017,937.52002,1040.469971,934.357971,1038.449951,491038016,289521,15205794660,4161948.385,4.76E+11,0.869937534
3/25/2017,972.778992,975.760986,903.713013,936.539978,435803008,242975,15551246387,3145108.723,4.76E+11,0.939924932
3/26/2017,966.724976,1007.960022,954.185974,974.015015,303668000,221915,15737860981,3925474.045,4.76E+11,0.676743084
3/27/2017,1045.77002,1046.400024,971.984009,972.054993,372535008,232291,16789415978,3121461.289,4.76E+11,0.900950258
3/28/2017,1047.150024,1064.650024,1027.72998,1044.579956,326332000,294001,16971709883,3665352.271,4.76E+11,0.985683723
3/29/2017,1039.969971,1055.130005,1015.880005,1046.079956,298457984,283931,16968309506,3263345.893,4.76E+11,0.973170391
3/30/2017,1026.430054,1049.290039,1020.039978,1042.209961,352968992,288788,16896048000,4073274.033,4.83E+11,0.962550098
3/31/2017,1071.790039,1074.920044,1026.640015,1026.640015,447287008,259403,17563966388,3352999.966,5.00E+11,0.96052783
4/1/2017,1080.5,1091.719971,1061.089966,1071.709961,289633984,255871,17837946363,3278488.856,5.00E+11,0.967154985
4/2/2017,1102.170044,1107.589966,1075.449951,1080.609985,514187008,244203,17970922523,3924251.812,5.00E+11,0.824273557
4/3/2017,1143.810059,1151.73999,1102.949951,1102.949951,580444032,288141,18556863561,4371318.475,5.00E+11,0.878287341
4/4/2017,1133.25,1156.439941,1120.52002,1145.52002,436310016,256015,18757563175,3104629.598,5.00E+11,0.977861424
4/5/2017,1124.780029,1135.089966,1113.630005,1134.140015,414784000,316555,18469918530,4023599.96,5.00E+11,0.966858444
4/6/2017,1182.680054,1188.369995,1125.810059,1125.810059,511222016,290465,19525598224,3651044.408,5.00E+11,0.977744884
4/7/2017,1176.900024,1186.579956,1163.390015,1178.939941,317022016,295463,19278728894,4023599.96,5.00E+11,0.977586105
4/8/2017,1175.949951,1184.97998,1162.579956,1172.650024,209312000,226959,19268254300,3402674.04,5.00E+11,0.974429496
4/9/2017,1187.869995,1197.209961,1171.859985,1176.569946,242343008,238286,19815481984,3949088.849,5.00E+11,0.925461893
4/10/2017,1187.130005,1190.339966,1179.040039,1187.300049,215883008,275496,19710608638,3675881.445,5.00E+11,0.918110162
4/11/2017,1205.01001,1208.069946,1187.459961,1187.459961,216182000,307893,20153773955,4147785.144,5.00E+11,0.962831892
4/12/2017,1200.369995,1207.140015,1196.76001,1204.810059,288702016,278093,20033943606,3526859.224,5.00E+11,0.982567296
4/13/2017,1169.280029,1205.890015,1156.439941,1201.02002,351968992,228679,19271490840,3287972.007,5.18E+11,0.972980299
4/14/2017,1167.540039,1190.800049,1159.790039,1170.329956,254827008,290208,19626308325,3598646.527,5.21E+11,0.995109367
4/15/2017,1172.52002,1188,1164.959961,1167.300049,203559008,271976,19498363475,3909321.047,5.21E+11,0.991744397
4/16/2017,1182.939941,1187.219971,1172.609985,1172.609985,183231008,211829,19391985918,3779873.33,5.21E+11,0.927419253
4/17/2017,1193.910034,1194.900024,1172.650024,1183.25,253206000,245184,20183091638,3572756.984,5.21E+11,0.930786486
4/18/2017,1211.670044,1217.569946,1193.77002,1193.77002,270524000,303091,20637969895,3779873.33,5.21E+11,0.955539788
4/19/2017,1210.290039,1215.51001,1205.079956,1212.130005,288060992,310104,19652660663,3702204.7,5.21E+11,0.984213175
4/20/2017,1229.079956,1240.790039,1208.410034,1211.079956,315108000,267915,21072337100,3598646.527,5.21E+11,0.973990101
4/21/2017,1222.050049,1235.939941,1215.560059,1229.420044,272167008,330354,21588070556,4323553.741,5.21E+11,0.975939323
4/22/2017,1231.709961,1235.560059,1208.469971,1222.709961,249320000,268712,19972491954,3753983.787,5.21E+11,0.97303251
4/23/2017,1207.209961,1232.199951,1203.939941,1231.920044,258951008,245039,22086609058,3961100.134,5.21E+11,0.947631065
